,CVRJ_Baseline_NoCulpeper,Culpeper_In_CVRJ,Combined_Load,Capacity,Over_Capacity
2026-12-31,303.0720180151269,124.90445724515075,427.97647526027765,660,False
2027-12-31,298.3433276619672,142.52942992209273,440.8727575840599,660,False
2028-12-31,293.6142315815536,159.18144865747433,452.79568023902794,660,False
2029-12-31,288.88476856418487,175.90505868833486,464.78982725251973,660,False
2030-12-31,284.1549736915417,192.62340093274668,476.7783746242884,660,False
2031-12-31,279.42487869125677,209.34213078816504,488.7670094794218,660,False
2032-12-31,274.694512257584,226.06083212262968,500.75534438021367,660,False
2033-12-31,269.96390034141035,242.77953555570548,512.7434358971159,660,False
2034-12-31,265.2330664125409,259.4982388343626,524.7313052469035,660,False
2035-12-31,260.5020316969069,276.21694212438206,536.718973821289,660,False
